date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:01%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/spinner.css?v=114405919020927442181718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/spinner1ac9.css	(from https://store.vantacheats.to/pages/status)
09:57:03	62653/62653	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2020:25:36%20GMT	https://store.vantacheats.to/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://store.vantacheats.to/pages/status)
09:57:03	818/818	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/spinner.css?v=114405919020927442181718817534	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/spinner1ac9.css	(from https://store.vantacheats.to/pages/status)
09:57:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:02%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/announcement-bar.css?v=97837507293639511121718817530	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/announcement-bar.1b62f3.delayed	(from https://store.vantacheats.to/pages/status)
09:57:04	755/755	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/announcement-bar.css?v=97837507293639511121718817530	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/announcement-bar62f3.css	(from https://store.vantacheats.to/pages/status)
09:57:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:03%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/utility-bar.css?v=149532189822410343481718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/utility-bar.1d839f.delayed	(from https://store.vantacheats.to/pages/status)
09:57:04	1395/1395	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/utility-bar.css?v=149532189822410343481718817535	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/utility-bar839f.css	(from https://store.vantacheats.to/pages/status)
09:57:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:03%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-toolbar.js?v=42451228715422794701718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-toolbar.1fba69.delayed	(from https://store.vantacheats.to/pages/status)
09:57:04	301/301	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-toolbar.js?v=42451228715422794701718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-toolbarba69.js	(from https://store.vantacheats.to/pages/status)
09:57:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:04%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/header.css?v=62764732741413671621718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/header9efd.css	(from https://store.vantacheats.to/pages/status)
09:57:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:04%20GMT	http://store.vantacheats.to/cdn/shop/files/vanta_logo_small.png?v=1718868004	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/files/vanta_logo_smallb25e.png	(from https://store.vantacheats.to/pages/status)
09:57:05	8711/8711	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/header.css?v=62764732741413671621718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/header9efd.css	(from https://store.vantacheats.to/pages/status)
09:57:05	2250/2250	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2021:43:05%20GMT	https://store.vantacheats.to/cdn/shop/files/vanta_logo_small.png?v=1718868004	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/files/vanta_logo_smallb25e.png	(from https://store.vantacheats.to/pages/status)
09:57:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:05%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/predictive-search.css?v=174306140240465623661718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/predictive-search5830.css	(from https://store.vantacheats.to/pages/status)
09:57:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:05%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/predictive-search.js?v=104199195210997086131718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/predictive-searche9a5.js	(from https://store.vantacheats.to/pages/status)
09:57:06	6477/6477	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/predictive-search.css?v=174306140240465623661718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/predictive-search5830.css	(from https://store.vantacheats.to/pages/status)
09:57:06	2705/2705	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/predictive-search.js?v=104199195210997086131718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/predictive-searche9a5.js	(from https://store.vantacheats.to/pages/status)
09:57:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:05%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile.css?v=84294199203906701081718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile5dfb.css	(from https://store.vantacheats.to/pages/status)
09:57:07	3028/3028	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile.css?v=84294199203906701081718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile5dfb.css	(from https://store.vantacheats.to/pages/status)
09:57:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:06%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile.js?v=106806273233583962411718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile97f8.js	(from https://store.vantacheats.to/pages/status)
09:57:07	818/818	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile.js?v=106806273233583962411718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile97f8.js	(from https://store.vantacheats.to/pages/status)
09:57:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:06%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/navigation-bar.css?v=9600368039442181731718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/navigation-bar3e95.css	(from https://store.vantacheats.to/pages/status)
09:57:07	726/726	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/navigation-bar.css?v=9600368039442181731718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/navigation-bar3e95.css	(from https://store.vantacheats.to/pages/status)
09:57:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:07%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/main-nav.css?v=133608754966954787521718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav4c92.css	(from https://store.vantacheats.to/pages/status)
09:57:08	5545/5545	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/main-nav.css?v=133608754966954787521718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav4c92.css	(from https://store.vantacheats.to/pages/status)
09:57:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:07%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-loader.js?v=110411130173839683061718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-loadere225.js	(from https://store.vantacheats.to/pages/status)
09:57:08	459/459	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-loader.js?v=110411130173839683061718817532	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/main-nav-mobile-loadere225.js	(from https://store.vantacheats.to/pages/status)
09:57:09	7974/7974	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Jun%202024%2016:22:13%20GMT	https://cdn.shopify.com/s/files/1/0699/2153/8295/files/Fortnite_629113d7-4900-4567-83f1-4d90648f7a01.png	C:/Users/Crcker2.0/Downloads/weew/cdn.shopify.com/s/files/1/0699/2153/8295/files/Fortnite_629113d7-4900-4567-83f1-4d90648f7a01.png	(from https://store.vantacheats.to/pages/status)
09:57:09	63067/63067	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Jun%202024%2016:22:13%20GMT	https://cdn.shopify.com/s/files/1/0699/2153/8295/files/spoofer_da7ee42c-c0ba-4213-8154-66a80d81f164.png?v=1719745324	C:/Users/Crcker2.0/Downloads/weew/cdn.shopify.com/s/files/1/0699/2153/8295/files/spoofer_da7ee42c-c0ba-4213-8154-66a80d81f164dc2d.png	(from https://store.vantacheats.to/pages/status)
